GeneName,Trait,GeneSymbol
Zm00001d000524,MGRVI/NDI/RGBR/RGBVI/veg/ExG/ExGR/ExR/GLI/GLI2/gn,-
Zm00001d000533,ints,-
Zm00001d000534,CIVE/COM,-
Zm00001d000554,NDI,-
Zm00001d000570,NDI,-
Zm00001d000572,GLI2,-
Zm00001d000707,ints,IDP8121
Zm00001d000787,GLI2,-
Zm00001d000796,GLI2,-
Zm00001d000914,MGRVI/veg/ExG/ExGR/GLI/GreenCoverage,-
Zm00001d000915,MGRVI/veg/ExG/ExGR/GLI/GreenCoverage,-
Zm00001d000942,CIVE,-
Zm00001d001010,GRVI/ints/RGBR/RGBVI/ExG,-
Zm00001d001055,rn,-
Zm00001d001056,rn,-
Zm00001d001078,GRVI,-
Zm00001d001159,gn,-
Zm00001d001309,IKAW,-
Zm00001d001341,NDI,-
Zm00001d001342,NDI,-
Zm00001d001345,GRVI,-
Zm00001d001358,CIVE/RGBVI/veg/COM/ExGR/GreenCoverage,-
Zm00001d001443,ints,-
Zm00001d001473,ExG,-
Zm00001d001499,rn,-
Zm00001d001551,NDI,-
Zm00001d001571,GLI,-
Zm00001d001673,GLI,-
Zm00001d001741,RGBVI,-
Zm00001d001767,gn,mab10
Zm00001d001809,NDI,-
Zm00001d001848,GRVI,IDP4238
Zm00001d001879,RGBVI,arftf3
Zm00001d001882,GLI2,-
Zm00001d001903,NDI,-
Zm00001d001939,ExR,cl421_1
Zm00001d001959,ints,bm6
Zm00001d001961,ExG,Zm00001d001961
Zm00001d002006,RGBR,mha2
Zm00001d002043,gn,-
Zm00001d002053,ints,cl34175_1
Zm00001d002125,COM/GreenCoverage,nrpd2/e2
Zm00001d002132,ExG,pco102445
Zm00001d002166,COM,cl17699_1a
Zm00001d002184,ints,pza03747
Zm00001d002188,ExR/GLI2/gn,-
Zm00001d002198,rn,LOC103645896/LOC118476278
Zm00001d002217,GLI/gn,-
Zm00001d002246,GRVI,pks1
Zm00001d002324,RGBVI,-
Zm00001d002326,GRVI,aaa1
Zm00001d002369,ints,prh47
Zm00001d002390,RGBVI,IDP4173
Zm00001d002406,RGBR,-
Zm00001d002424,rn,thx23
Zm00001d002447,GRVI,rlk12
Zm00001d002467,ExR/GLI2,-
Zm00001d002544,ExGR/ExR,rcc9
Zm00001d002560,ExG,-
Zm00001d002577,GRVI,ubp8
Zm00001d002585,GRVI,-
Zm00001d002591,rn,-
Zm00001d002593,GRVI,TIDP9198
Zm00001d002602,CIVE/MGRVI/RGBVI/veg/COM/ExG/ExGR/GLI/GreenCoverage,dps2
Zm00001d002617,ExG,GRMZM2G161913
Zm00001d002668,COM/GreenCoverage,-
Zm00001d002704,ints,glpx3
Zm00001d002706,ints,-
Zm00001d002715,GRVI,-
Zm00001d002751,NDI/RGBR,IDP4867
Zm00001d002758,RGBVI,-
Zm00001d002784,GRVI,IDP4525
Zm00001d002791,CIVE/GRVI,LOC100282442
Zm00001d002801,ExGR,thx12
Zm00001d002806,ExR/GLI2,dbb2
Zm00001d002814,RGBR/GLI,-
Zm00001d002833,RGBVI,LOC100280605
Zm00001d002901,ints,px15
Zm00001d002906,NDI,-
Zm00001d002936,ints,impb5
Zm00001d002940,RGBR,-
Zm00001d002941,RGBR,magi100893
Zm00001d002956,ExG,-
Zm00001d002978,ExG,cl8874_1
Zm00001d002991,GRVI,cl45746_-1e
Zm00001d002992,RGBVI,-
Zm00001d003007,CIVE,ppr98
Zm00001d003035,CIVE/COM/GreenCoverage,-
Zm00001d003038,veg/GreenCoverage,-
Zm00001d003039,CIVE/COM,-
Zm00001d003048,ExG,AF056157
Zm00001d003087,gn,-
Zm00001d003116,ExGR,Zm00001d003116
Zm00001d003185,rn,LOC100273371/LOC103646277
Zm00001d003199,NDI,-
Zm00001d003200,ExG,cl1856_4
Zm00001d003239,ExR,-
Zm00001d003291,GreenCoverage,tgz21
Zm00001d003293,gn,nactf111
Zm00001d003294,veg,-
Zm00001d003295,veg,-
Zm00001d003331,gn,wrky72
Zm00001d003395,gn,ans1
Zm00001d003403,CIVE,aaap10
Zm00001d003429,gn/GreenCoverage,gpa1
Zm00001d003474,RGBVI,-
Zm00001d003535,ints,-
Zm00001d003539,gn,-
Zm00001d003546,IKAW,-
Zm00001d003602,rn,cl12292_1a
Zm00001d003655,RGBVI,si707050e05a
Zm00001d003671,GLI2,Zm00001eb082840
Zm00001d003742,CIVE,IDP5993
Zm00001d003747,NDI,-
Zm00001d003770,rn,-
Zm00001d003800,GRVI,IDP3774
Zm00001d003840,RGBVI,-
Zm00001d003847,gn,pco133857
Zm00001d003848,RGBVI,pco129583a
Zm00001d003850,GRVI,Zm00001d003850
Zm00001d003875,rn,-
Zm00001d003894,ints,-
Zm00001d003935,GRVI,-
Zm00001d003980,ints,sbt27
Zm00001d004049,IKAW,-
Zm00001d004053,RGBVI,-
Zm00001d004065,NDI,-
Zm00001d004091,rn/GLI2,qk1
Zm00001d004118,ExG,umc1007
Zm00001d004123,RGBR,Zm00001d004123
Zm00001d004127,gn,-
Zm00001d004140,ExR/GLI2,magi68140
Zm00001d004147,MGRVI/veg/ExG/ExGR/GLI,-
Zm00001d004172,RGBVI/GLI/gn,pco101158b
Zm00001d004193,CIVE/MGRVI/rn/veg/COM/ExGR/ExR/GLI/GreenCoverage,pco108216
Zm00001d004225,GLI,-
Zm00001d004259,IKAW,cl17367_1(196)
Zm00001d004270,RGBR,-
Zm00001d004317,GRVI,-
Zm00001d004359,MGRVI/veg/ExGR/GLI,-
Zm00001d004376,ExR/GLI2/gn,-
Zm00001d004387,IKAW,-
Zm00001d004392,RGBVI,-
Zm00001d004428,RGBR/RGBVI/GLI2,-
Zm00001d004438,ExG/ExR,zpu1
Zm00001d004466,CIVE/GreenCoverage,pco111783
Zm00001d004500,NDI,-
Zm00001d004502,NDI/ExR,-
Zm00001d004527,RGBR,-
Zm00001d004555,veg,cyp42
Zm00001d004559,GreenCoverage,-
Zm00001d004586,NDI,expb16
Zm00001d004591,GRVI,LOC103646909
Zm00001d004604,IKAW,-
Zm00001d004605,IKAW,-
Zm00001d004651,GLI2,c3h19
Zm00001d004652,GRVI,-
Zm00001d004658,IKAW,-
Zm00001d004667,ExR/GLI2,pco076624
Zm00001d004707,GLI2,Zm00001d004707
Zm00001d004728,MGRVI/veg/COM/ExG/GLI/GreenCoverage,grp4
Zm00001d004743,MGRVI/veg/COM/ExGR/GLI,-
Zm00001d004819,GLI2,-
Zm00001d004825,GRVI,-
Zm00001d004857,ints,bzip23
Zm00001d004885,IKAW/GLI/gn,-
Zm00001d004907,ExG,-
Zm00001d004911,CIVE,-
Zm00001d004912,CIVE/ints/ExG,-
Zm00001d004956,gn,gldh1/magi2326
Zm00001d004960,COM,pco062200a
Zm00001d004979,rn,AY111877
Zm00001d004982,GLI2,-
Zm00001d004994,RGBR,-
Zm00001d005011,ExG,IDP8402
Zm00001d005092,MGRVI/veg/ExGR,-
Zm00001d005137,IKAW/rn,phd52
Zm00001d005170,MGRVI/veg/ExGR,cl28737_1
Zm00001d005338,gn,-
Zm00001d005431,MGRVI/ExGR/ExR/GLI2,-
Zm00001d005458,CIVE/MGRVI/veg/COM/ExG/ExGR/ExR/GLI/GreenCoverage,Zm00001d005458
Zm00001d005538,GLI2,-
Zm00001d005563,GRVI,sdg110b
Zm00001d005570,GRVI,IDP2141
Zm00001d005578,GRVI,bzip40
Zm00001d005598,RGBVI/COM,IDP8156
Zm00001d005608,GLI2,-
Zm00001d005662,rn,LOC100282683
Zm00001d005688,rn,LOC103647391
Zm00001d005707,RGBVI,-
Zm00001d005741,GLI2,ndhl2
Zm00001d005758,GRVI/MGRVI/veg,Zm00001d005758
Zm00001d005767,IKAW/GreenCoverage,-
Zm00001d005805,GRVI/ints,-
Zm00001d005826,RGBVI,umc5a
Zm00001d005847,ints,si606037c06b
Zm00001d005902,ints/rn,pco137522
Zm00001d005924,GLI2,-
Zm00001d005949,gn,isol1
Zm00001d005952,RGBVI,-
Zm00001d005981,MGRVI/RGBVI/rn/veg/ExGR,-
Zm00001d005991,RGBR/ExG,-
Zm00001d006011,gn,upl1
Zm00001d006017,GRVI,LOC100191446
Zm00001d006046,ints/RGBR,mbd111
Zm00001d006081,RGBVI,-
Zm00001d006084,GRVI/IKAW/gn,-
Zm00001d006130,COM,-
Zm00001d006136,ExG,Zm00001d006136
Zm00001d006236,ints,myb31/GRMZM5G892094
Zm00001d006311,GRVI,qpt1
Zm00001d006328,ints/ExR,si605057h03a
Zm00001d006344,MGRVI/veg/ExGR,AY109722
Zm00001d006382,GLI2,msh4
Zm00001d006402,ExG,LOC100382858
Zm00001d006449,gn,si486092d04c
Zm00001d006459,rn,-
Zm00001d006460,ints,-
Zm00001d006473,ints,-
Zm00001d006481,rn,-
Zm00001d006487,GRVI,-
Zm00001d006496,IKAW/ExR,cl866_1a
Zm00001d006514,IKAW,-
Zm00001d006593,rn,-
Zm00001d006677,ints,bzr7
Zm00001d006679,ints,-
Zm00001d006683,CIVE/MGRVI/ExG/ExGR,LOC100217238
Zm00001d006684,GRVI,LOC100284228
Zm00001d006705,MGRVI/veg/ExGR,arm20
Zm00001d006758,RGBR,GRMZM2G414002
Zm00001d006797,MGRVI/veg/ExG/ExGR/GLI,IDP363
Zm00001d006798,RGBVI,chr12
Zm00001d006888,NDI,-
Zm00001d006939,CIVE/COM,IDP7317
Zm00001d007022,GLI,bzip132
Zm00001d007090,GRVI,rlua3
Zm00001d007116,gn,nbcs7
Zm00001d007214,GLI2,cl31945_1
Zm00001d007288,RGBR,acr10
Zm00001d007363,CIVE/COM,bak6
Zm00001d007383,RGBVI,cl1922_1b
Zm00001d007422,NDI,IDP7614
Zm00001d007450,CIVE,-
Zm00001d007486,GRVI,LOC100191617
Zm00001d007522,RGBVI,traf3
Zm00001d007536,ints,bhlh59
Zm00001d007595,COM,-
Zm00001d007596,GRVI,pza02266
Zm00001d007636,NDI/GLI,-
Zm00001d007670,RGBVI,-
Zm00001d007672,RGBVI,LOC103649462
Zm00001d007686,ints,IDPCP97120
Zm00001d007688,ints/RGBR,-
Zm00001d007726,rn,-
Zm00001d007732,CIVE/GRVI/MGRVI/RGBVI/veg/ExGR/GLI/gn,-
Zm00001d007752,CIVE/GRVI/COM/GreenCoverage,-
Zm00001d007782,IKAW,-
Zm00001d007810,GRVI,IDP661
Zm00001d007818,GRVI,-
Zm00001d007862,NDI,pan2
Zm00001d007888,ExG,mab14
Zm00001d007900,rn,Zm00001eb117170
Zm00001d007902,MGRVI/veg/ExGR,Zm00001d007902
Zm00001d007903,MGRVI/ExGR/ExR/GLI,-
Zm00001d007953,RGBVI,-
Zm00001d007965,NDI,mkkk7
Zm00001d008025,rn,-
Zm00001d008138,rn,-
Zm00001d008177,GRVI,IDP7800
Zm00001d008248,gn,-
Zm00001d008256,IKAW,smk501
Zm00001d008269,CIVE/COM,-
Zm00001d008277,rn,LOC103634667
Zm00001d008360,rn,pco061640
Zm00001d008371,GreenCoverage,-
Zm00001d008376,RGBVI,nrh1
Zm00001d008398,NDI,-
Zm00001d008428,RGBR,GRMZM2G035341
Zm00001d008460,CIVE,Zm00001d008460
Zm00001d008467,rn,wakl42
Zm00001d008484,NDI,-
Zm00001d008488,COM,wakl46
Zm00001d008510,CIVE/COM,-
Zm00001d008538,GreenCoverage,-
Zm00001d008559,GLI2,crs2
Zm00001d008588,NDI,cl2990_1b
Zm00001d008631,GLI,-
Zm00001d008663,rn,-
Zm00001d008679,GRVI,LOC100280830
Zm00001d008715,CIVE,rlk3
Zm00001d008743,ints,ubp39
Zm00001d008744,RGBVI,B6TMW7
Zm00001d008771,GRVI,-
Zm00001d008814,MGRVI/veg/COM/ExR/GreenCoverage,aldh35
Zm00001d008863,MGRVI/veg/ExG/ExGR/GLI,pco134958
Zm00001d008913,CIVE/COM/GreenCoverage,ect10
Zm00001d008941,RGBVI,atx3
Zm00001d008954,ints,umc1802
Zm00001d008978,gn,-
Zm00001d009026,NDI,-
Zm00001d009090,NDI,myb95
Zm00001d009154,GRVI,-
Zm00001d009171,CIVE,LOC100274176
Zm00001d009182,IKAW,ech1
Zm00001d009220,IKAW,-
Zm00001d009337,GRVI,-
Zm00001d009351,GLI,-
Zm00001d009424,RGBR,si605013b05b
Zm00001d009454,RGBR,-
Zm00001d009474,gn,-
Zm00001d009571,ExGR,cl12262_1b
Zm00001d009591,RGBVI,umc1157
Zm00001d009618,ExG,wtf1
Zm00001d009649,RGBR,-
Zm00001d009657,ExG,-
Zm00001d009661,NDI,LOC100382356
Zm00001d009671,gn,-
Zm00001d009676,gn,pco092990b
Zm00001d009690,GLI2,-
Zm00001d009733,ExG,ppr433
Zm00001d009771,ints,osca3
Zm00001d009789,ExG,rte6
Zm00001d009824,NDI,-
Zm00001d009879,ExR/gn,IDP7885
Zm00001d009886,RGBVI,-
Zm00001d010029,GRVI,-
Zm00001d010034,ExG,ysl23
Zm00001d010040,GRVI,-
Zm00001d010043,ExG,cl14476_1b
Zm00001d010047,RGBR,mlkt2
Zm00001d010050,GRVI,-
Zm00001d010126,rn,-
Zm00001d010200,RGBR,-
Zm00001d010259,IKAW,csu620
Zm00001d010281,GRVI,-
Zm00001d010309,ints,sbp11
Zm00001d010321,rn,pdk2
Zm00001d010322,RGBR,mbd101
Zm00001d010324,GLI2,cl23765_1
Zm00001d010341,ints/RGBR,traf27
Zm00001d010342,RGBVI,-
Zm00001d010398,COM/GreenCoverage,-
Zm00001d010411,CIVE,iaa38
Zm00001d010456,ints,-
Zm00001d010476,NDI,cdk2
Zm00001d010480,RGBVI,LOC100279902
Zm00001d010546,gn,-
Zm00001d010552,NDI,-
Zm00001d010576,IKAW/RGBR,-
Zm00001d010599,MGRVI/veg,-
Zm00001d010639,GRVI,-
Zm00001d010700,GLI2,IDP8437
Zm00001d010719,rn,ktf1
Zm00001d010724,COM/GreenCoverage,umc1130
Zm00001d010777,gn,-
Zm00001d010850,rn,pco095139
Zm00001d010882,NDI/ExG,-
Zm00001d010883,ints/rn,-
Zm00001d010888,GRVI,-
Zm00001d010908,ExR/GLI2,LOC100383425
Zm00001d010927,RGBR/rn,cl9164_1a
Zm00001d010928,RGBVI,met6
Zm00001d010962,RGBVI,-
Zm00001d010965,ExG,IDP9049
Zm00001d010974,ints/GLI/gn,phd17
Zm00001d011075,RGBVI,-
Zm00001d011099,GRVI,mmt1
Zm00001d011219,IKAW,-
Zm00001d011220,NDI,cl34516_1b
Zm00001d011263,RGBR,pco098642
Zm00001d011272,GreenCoverage,cl12769_-1
Zm00001d011289,COM/GreenCoverage,Zm00001d011289
Zm00001d011304,GRVI,-
Zm00001d011378,GLI2,-
Zm00001d011386,MGRVI/veg/ExGR,Zm00001d011386
Zm00001d011400,rn,-
Zm00001d011421,rn,-
Zm00001d011492,NDI/gn,Zm00001d011492
Zm00001d011511,GRVI,-
Zm00001d011518,IKAW,si687057a06d
Zm00001d011532,GRVI/IKAW/NDI/RGBR,Zm00001d011532
Zm00001d011541,CIVE/GRVI,pco061312c
Zm00001d011550,MGRVI/veg/ExG/ExGR/GLI,-
Zm00001d011560,RGBR/RGBVI,ddt5/hb113/LOC103636162
Zm00001d011598,GRVI,-
Zm00001d011626,GRVI,-
Zm00001d011644,GRVI,Zm00001eb360840
Zm00001d011658,ints/NDI,-
Zm00001d011662,RGBVI,-
Zm00001d011666,GRVI,cdpk21
Zm00001d011667,ExR/GLI2,-
Zm00001d011705,rn,rbap1
Zm00001d011713,NDI/RGBR/GLI,-
Zm00001d011743,ints,-
Zm00001d011750,rn,crk1
Zm00001d011764,gn,yuc8
Zm00001d011791,ExGR/ExR/gn,-
Zm00001d011931,RGBVI,-
Zm00001d011959,CIVE/COM/GreenCoverage,xt6
Zm00001d011976,ints,-
Zm00001d011997,veg,dnaj175
Zm00001d012049,GLI2,c3h49
Zm00001d012054,GLI2,-
Zm00001d012061,GRVI/rn,IDP8974
Zm00001d012102,rn,mgt8
Zm00001d012130,rn,-
Zm00001d012137,gn,cl13065_1b
Zm00001d012148,GRVI,-
Zm00001d012156,rn,cl20634_1b
Zm00001d012172,gn,-
Zm00001d012173,GRVI,pco070293b
Zm00001d012247,GRVI,CL9311_1
Zm00001d012284,NDI,Zm00001d012284
Zm00001d012297,GRVI,-
Zm00001d012308,RGBR,-
Zm00001d012349,NDI,-
Zm00001d012385,ints,Zm00001eb367710
Zm00001d012413,GLI2,wrky66
Zm00001d012441,GRVI,cct3
Zm00001d012446,CIVE,-
Zm00001d012451,veg,cl28155_-2
Zm00001d012458,ints,-
Zm00001d012467,MGRVI/veg/COM/ExG/ExGR/ExR/GLI/GreenCoverage,-
Zm00001d012483,ExR,-
Zm00001d012493,veg,-
Zm00001d012537,GLI,-
Zm00001d012538,ints,Zm00001d012538
Zm00001d012559,rn,IDP279
Zm00001d012561,ints/GreenCoverage,psei2
Zm00001d012563,RGBVI,-
Zm00001d012573,ints,pap16
Zm00001d012578,NDI,-
Zm00001d012594,COM,GRMZM2G139460
Zm00001d012595,ints/COM,-
Zm00001d012598,COM,-
Zm00001d012614,GRVI/ints,cngc12
Zm00001d012629,GLI2,-
Zm00001d012630,MGRVI/veg/ExG/ExGR/GLI/GreenCoverage,-
Zm00001d012642,ints,bhlh79
Zm00001d012661,ints,LOC100384291
Zm00001d012663,ints,mate45
Zm00001d012664,CIVE/MGRVI/veg/COM/ExGR/GreenCoverage,cl21045_1
Zm00001d012675,COM,gst1
Zm00001d012699,ints,cl9001_1b
Zm00001d012716,GLI2,-
Zm00001d012725,IKAW/GLI2,tcptf29
Zm00001d012761,GLI2,-
Zm00001d012778,NDI,-
Zm00001d012861,GreenCoverage,-
Zm00001d012866,MGRVI/veg/ExGR/ExR/GLI/gn,-
Zm00001d012894,NDI,-
Zm00001d012963,gn,dof33/dof31
Zm00001d012970,COM/GreenCoverage,-
Zm00001d012974,ExR,-
Zm00001d012993,GRVI,iws2
Zm00001d012999,NDI,-
Zm00001d013006,IKAW/gn,LOC103625778
Zm00001d013008,gn,-
Zm00001d013040,rn,gpm707
Zm00001d013041,RGBVI,cybc7
Zm00001d013042,IKAW,csu33a
Zm00001d013059,ExR,pco085879
Zm00001d013070,rn,myb160
Zm00001d013073,NDI,bhlh159
Zm00001d013094,IKAW,mab17
Zm00001d013107,IKAW,-
Zm00001d013154,IKAW/veg/GLI,iaa20
Zm00001d013162,RGBVI,Zm00001d013162
Zm00001d013210,NDI,-
Zm00001d013211,GRVI,-
Zm00001d013267,ExR,tlk2
Zm00001d013335,rn,-
Zm00001d013346,NDI,grftf14
Zm00001d013351,GreenCoverage,-
Zm00001d013376,veg/gn,-
Zm00001d013379,rn,-
Zm00001d013383,ExR,-
Zm00001d013415,IKAW,GRMZM2G158359
Zm00001d013426,RGBVI,cl692_1b
Zm00001d013427,ExG,cl11117_1a
Zm00001d013444,ints,-
Zm00001d013447,ints,pco101674b
Zm00001d013463,rn,-
Zm00001d013484,COM,-
Zm00001d013496,GRVI,LOC100273078
Zm00001d013544,GRVI,-
Zm00001d013555,MGRVI/RGBVI/veg/COM/ExG/ExGR/GLI/GreenCoverage,grftf17
Zm00001d013559,IKAW,knox10
Zm00001d013572,RGBR,-
Zm00001d013596,NDI,hagtf22
Zm00001d013597,gn,hagtf22/LOC103626013
Zm00001d013624,GLI,cl55469_1
Zm00001d013625,ints,lbd26
Zm00001d013631,RGBVI,tbp2
Zm00001d013653,GRVI,cl14707_1b
Zm00001d013658,ExG,umc2512
Zm00001d013706,MGRVI/veg/ExGR,tha9
Zm00001d013746,MGRVI/RGBVI/veg/ExG/ExGR/GLI,bnlg1046
Zm00001d013752,ints,-
Zm00001d013753,MGRVI/veg/ExG/ExGR/GLI,cyp34
Zm00001d013755,GLI2,-
Zm00001d013800,GRVI,-
Zm00001d013821,MGRVI/veg/COM/ExGR,-
Zm00001d013822,MGRVI/veg/COM/ExGR,-
Zm00001d013828,veg,chr16
Zm00001d013831,CIVE/COM/ExG/ExR/GreenCoverage,pco067113d
Zm00001d013899,ints,-
Zm00001d013964,veg,-
Zm00001d013969,IKAW,-
Zm00001d013996,ints,-
Zm00001d014017,ints,-
Zm00001d014074,ints,cct27
Zm00001d014085,ints,IDP6932
Zm00001d014109,CIVE/MGRVI/RGBVI/veg/COM/ExG/ExGR/GLI/GreenCoverage,-
Zm00001d014122,RGBR,-
Zm00001d014167,RGBVI,-
Zm00001d014185,RGBR,-
Zm00001d014188,RGBVI,LOC100193152
Zm00001d014216,GLI,-
Zm00001d014254,IKAW/NDI,-
Zm00001d014255,GRVI,-
Zm00001d014256,CIVE/GreenCoverage,-
Zm00001d014263,MGRVI/GLI,-
Zm00001d014278,ExGR/ExR/GLI2,ras11E3
Zm00001d014306,GLI2,pco077445
Zm00001d014348,gn,-
Zm00001d014350,RGBVI,-
Zm00001d014377,ints,arftf18
Zm00001d014413,ExG,tti1
Zm00001d014414,NDI,LOC100502179
Zm00001d014445,GRVI,-
Zm00001d014447,RGBVI,-
Zm00001d014471,ExR,dek55
Zm00001d014487,CIVE/ints/COM/GreenCoverage,-
Zm00001d014517,ExG,-
Zm00001d014519,RGBR,LOC100303964
Zm00001d014521,ints,-
Zm00001d014528,RGBVI,-
